"plant","second_plant","relationship"
"Asparagus","Basil","Companions"
"Asparagus","Parsley","Companions"
"Asparagus","Tomatoes","Companions"
"Asparagus","Dill","Companions"
"Asparagus","Coriander","Companions"
"Asparagus","Comfrey","Companions"
"Asparagus","Nasturtiums","Companions"
"Asparagus","Onions","Antagonists"
"Asparagus","Potatoes","Antagonists"
"Asparagus","Gladiolas","Antagonists"
"Asparagus","Garlic","Antagonists"
"Basil","Chamomile","Companions"
"Basil","Anise","Companions"
"Basil","Tomatoes","Companions"
"Basil","Peppers","Companions"
"Basil","Oregano","Companions"
"Basil","Asparagus","Companions"
"Basil","Petunias","Companions"
"Basil","Rue","Antagonists"
"Beans (all)","Beets","Companions"
"Beans (all)","Cucumbers","Companions"
"Beans (all)","Carrots","Companions"
"Beans (all)","Lettuce","Companions"
"Beans (all)","Okra","Companions"
"Beans (all)","Potatoes","Companions"
"Beans (all)","Spinach","Companions"
"Beans (all)","Dill","Companions"
"Beans (all)","Cabbage","Companions"
"Beans (all)","Swiss Chard","Companions"
"Beans (all)","Eggplant","Companions"
"Beans (all)","Peas","Companions"
"Beans (all)","Broccoli","Companions"
"Beans (all)","Cauliflower","Companions"
"Beans (all)","Corn","Companions"
"Beans (all)","Savory","Companions"
"Beans (all)","Borage","Companions"
"Beans (all)","Marigolds","Companions"
"Beans (all)","Radishes","Companions"
"Beans (all)","Mint","Companions"
"Beans (all)","Onions","Companions"
"Beans (all)","Squash","Companions"
"Beans (all)","Tomatoes","Antagonists"
"Beans (all)","Peppers","Antagonists"
"Beans (all)","Alliums","Antagonists"
"Beans (bush)","Celery","Companions"
"Beans (bush)","Strawberries","Companions"
"Beans (bush)","Cucumbers","Companions"
"Beans (bush)","Soybeans","Companions"
"Beans (bush)","Grains","Companions"
"Beans (bush)","Beets","Companions"
"Beans (bush)","Cabbage","Companions"
"Beans (bush)","Carrots","Companions"
"Beans (bush)","Cauliflower","Companions"
"Beans (bush)","Corn","Companions"
"Beans (bush)","Marigolds","Companions"
"Beans (bush)","Potatoes","Companions"
"Beans (bush)","Savory","Companions"
"Beans (bush)","Soybeans","Antagonists"
"Beans (bush)","Alfalfa","Antagonists"
"Beans (bush)","Fennel","Antagonists"
"Beans (bush)","Garlic","Antagonists"
"Beans (bush)","Leeks","Antagonists"
"Beans (bush)","Onions","Antagonists"
"Beans (bush)","Shallot","Antagonists"
"Beans (climbing)","Cabbage","Companions"
"Beans (climbing)","Corn","Companions"
"Beans (climbing)","Radishes","Companions"
"Beans (climbing)","Marigolds","Companions"
"Beans (climbing)","Potatoes","Companions"
"Beans (climbing)","Beets","Antagonists"
"Beans (climbing)","Sunflowers","Antagonists"
"Beans (climbing)","Fennel","Antagonists"
"Beans (climbing)","Broccoli","Antagonists"
"Beans (climbing)","Cauliflower","Antagonists"
"Beans (climbing)","Kohlrabi","Antagonists"
"Beans (climbing)","Garlic","Antagonists"
"Beans (climbing)","Onions","Antagonists"
"Beans (climbing)","Shallot","Antagonists"
"Beans (climbing)","Leeks","Antagonists"
"Beets","Lettuce","Companions"
"Beets","Garlic","Companions"
"Beets","Kohlrabi","Companions"
"Beets","Onions","Companions"
"Beets","Shallot","Companions"
"Beets","Broccoli","Companions"
"Beets","Cauliflower","Companions"
"Beets","Brussels Sprouts","Companions"
"Beets","Beans (bush)","Companions"
"Beets","Swiss Chard","Companions"
"Beets","Cabbage","Companions"
"Beets","Mint","Companions"
"Beets","Beans (climbing)","Antagonists"
"Beets","Tomatoes","Antagonists"
"Beets","Mustard","Antagonists"
"Borage","Strawberries","Companions"
"Borage","Tomatoes","Companions"
"Borage","Squash","Companions"
"Borage","Beans (all)","Companions"
"Borage","Cucumbers","Companions"
"Borage","Cabbage","Companions"
"Broccoli","Beets","Companions"
"Broccoli","Lettuce","Companions"
"Broccoli","Turnips","Companions"
"Broccoli","Dill","Companions"
"Broccoli","Mustard","Companions"
"Broccoli","Onions","Companions"
"Broccoli","Tomatoes","Companions"
"Broccoli","Chamomile","Companions"
"Broccoli","Carrots","Companions"
"Broccoli","Marigolds","Companions"
"Broccoli","Mint","Companions"
"Broccoli","Nasturtiums","Companions"
"Broccoli","Thyme","Companions"
"Broccoli","Sage","Companions"
"Broccoli","Strawberries","Antagonists"
"Broccoli","Peppers","Antagonists"
"Broccoli","Beans (climbing)","Antagonists"
"Brussels Sprouts","Sage","Companions"
"Brussels Sprouts","Thyme","Companions"
"Brussels Sprouts","Beans (all)","Companions"
"Brussels Sprouts","Beets","Companions"
"Brussels Sprouts","Carrots","Companions"
"Brussels Sprouts","Chamomile","Companions"
"Brussels Sprouts","Dill","Companions"
"Brussels Sprouts","Marigolds","Companions"
"Brussels Sprouts","Mint","Companions"
"Brussels Sprouts","Onions","Companions"
"Brussels Sprouts","Nasturtiums","Companions"
"Brussels Sprouts","Strawberries","Antagonists"
"Cabbages","Beans (all)","Companions"
"Cabbages","Chamomile","Companions"
"Cabbages","Tomatoes","Companions"
"Cabbages","Celery","Companions"
"Cabbages","Marigolds","Companions"
"Cabbages","Nasturtiums","Companions"
"Cabbages","Dill","Companions"
"Cabbages","Coriander","Companions"
"Cabbages","Onions","Companions"
"Cabbages","Beets","Companions"
"Cabbages","Mint","Companions"
"Cabbages","Sage","Companions"
"Cabbages","Thyme","Companions"
"Cabbages","Lettuce","Companions"
"Cabbages","Garlic","Companions"
"Cabbages","Broccoli","Companions"
"Cabbages","Brussels Sprouts","Companions"
"Cabbages","Swiss Chard","Companions"
"Cabbages","Spinach","Companions"
"Cabbages","Rue","Antagonists"
"Cabbages","Strawberries","Antagonists"
"Cantaloupe","Chamomile","Companions"
"Cantaloupe","Savory","Companions"
"Cantaloupe","Corn","Companions"
"Chamomile","Cauliflower","Companions"
"Chamomile","Broccoli","Companions"
"Chamomile","Onions","Companions"
"Chamomile","Cabbage","Companions"
"Chamomile","Cucumbers","Companions"
"Chamomile","Mint","Antagonists"
"Carrots","Onions","Companions"
"Carrots","Lettuce","Companions"
"Carrots","Garlic","Companions"
"Carrots","Shallot","Companions"
"Carrots","Chives","Companions"
"Carrots","Tomatoes","Companions"
"Carrots","Beans (all)","Companions"
"Carrots","Leeks","Companions"
"Carrots","Sage","Companions"
"Carrots","Peas","Companions"
"Carrots","Dill","Antagonists"
"Carrots","Parsnips","Antagonists"
"Carrots","Radishes","Antagonists"
"Cauliflower","Spinach","Companions"
"Cauliflower","Sunflowers","Companions"
"Cauliflower","Peas","Companions"
"Cauliflower","Beans (all)","Companions"
"Cauliflower","Broccoli","Companions"
"Cauliflower","Celery","Companions"
"Cauliflower","Marigolds","Companions"
"Cauliflower","Cabbage","Companions"
"Cauliflower","Swiss Chard","Companions"
"Cauliflower","Tomatoes","Companions"
"Cauliflower","Brussels Sprouts","Companions"
"Cauliflower","Rue","Antagonists"
"Cauliflower","Strawberries","Antagonists"
"Celery","Tomatoes","Companions"
"Celery","Beans (bush)","Companions"
"Celery","Cauliflower","Companions"
"Celery","Broccoli","Companions"
"Celery","Cauliflower","Companions"
"Celery","Cabbage","Companions"
"Celery","Corn","Antagonists"
"Celery","Potatoes","Antagonists"
"Celery","Parsnips","Antagonists"
"Chervil","Broccoli","Companions"
"Chervil","Lettuce","Companions"
"Chervil","Radishes","Companions"
"Chives","Carrots","Companions"
"Chives","Tomatoes","Companions"
"Chives","Broccoli","Companions"
"Chives","Cabbage","Companions"
"Chives","Mustard","Companions"
"Chives","Cauliflower","Companions"
"Chives","Strawberries","Companions"
"Chives","Beans (all)","Antagonists"
"Chives","Peas","Antagonists"
"Coriander","Cabbage","Companions"
"Coriander","Spinach","Companions"
"Coriander","Lettuce","Companions"
"Coriander","Tomatoes","Companions"
"Coriander","Anise","Companions"
"Coriander","Beans (all)","Companions"
"Coriander","Peas","Companions"
"Coriander","Dill","Antagonists"
"Corn","Squash","Companions"
"Corn","Beans (climbing)","Companions"
