plant,latin_name,cultivar_group
Apple,Malus domestica,
Apricot,Prunus armeniaca,
Aspargus,Asparagus officinalis,
Basil,Ocimum basilicum,
Beans,Phaseolus vulgaris,
Broad Beans,Vicia faba,
Bush Beans,Phaseolus vulgaris,
Climbing Beans,Phaseolus vulgaris,
Beets,"	Beta vulgaris",
Borage,Borago officinalis,
Broccoli,"	Brassica oleracea",italica
Brussels Sprouts,"	Brassica oleracea",gemmifera
Cabbages,"	Brassica oleracea",alba
Cantaloupe,Cucumis melo,
Chamomile (German),Matricaria recutita,
Chamomile (Roman),Chamaemelum nobile,
Carrots,Daucus carota,
Cauliflower,"	Brassica oleracea",botrytis
Celery,Apium graveolens,
Cherry,Prunus avium,
Chervil,Anthriscus cerefolium,
Chives,Allium schoenoprasum,
Coriander,Coriandrum sativum,
Corn,Zea mays,
Cucumber,Cucumis sativus,
Dill,Anethum graveolens,
Fennel,Foeniculum vulgare,
Marigold,Calendula officinalis,
Garlic,Allium sativum,
Grape Vine,Vitis vinifera,
Kale,"	Brassica oleracea",sabellica
Kohlrabi,"	Brassica oleracea",gonngylodes
Lettuce,Lactuca sativa,
Marjoram,Origanum majorana,
Mustard,Brassica juncea,
Mulberry,Morus rubra,
Nasturtium,Tropaeolum majus,
Onions,Allium cepa,
Oregano,Origanum vulgare,
Parsley,Petroselinum crispum,
Parsnips,Pastinaca sativa,
Peas,Pisum sativum,
Peppers,Capsicum annuum,
Pennyroyal,Hedeoma pulegioides,
Potato,Solanum tuberosum,
Pumpkin,Cucurbita pepo,
Radish,Raphanus raphanistrum,sativus
Rosemary,Salvia rosmarinus,
Rue,Ruta graveolens,
Sage,Salvia officinalis,
Savory,Satureja hortensis,
Soybeans,Glycine max,
Spinach,Spinacia oleracea,
Squash,Cucurbita pepo,
Strawberry,Fragaria × ananassa,
Stinging Nettle,Urtica dioica,
Sunflower,Helianthus annuus,
Swiss Chard,Beta vulgaris,vulgaris
Tarragon,Artemisia dracunculus,
Thyme,Thymus vulgaris,
Tomato,Solanum lycopersicum,
Turnips,Brassica rapa,rapa
Yarrow,Achillea millefolium,
Zucchini,Cucurbita pepo,
